FileConf	FileName.x	TotalReads	Configuration.x	FwdRev	OTUID	variable	value	FileName.y	Configuration.y	Normalized	Isolate
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Bv5501	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	3	ERR1877982_1	trim50_synthetic16S	0.05	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ca5501	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	15	ERR1877982_1	trim50_synthetic16S	0.25	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5001	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	22	ERR1877982_1	trim50_synthetic16S	0.366666666666667	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5002	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	35	ERR1877982_1	trim50_synthetic16S	0.583333333333333	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5003	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	34	ERR1877982_1	trim50_synthetic16S	0.566666666666667	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5004	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	25	ERR1877982_1	trim50_synthetic16S	0.416666666666667	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5005	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	38	ERR1877982_1	trim50_synthetic16S	0.633333333333333	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5501	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	49	ERR1877982_1	trim50_synthetic16S	0.816666666666667	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec5502	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	28	ERR1877982_1	trim50_synthetic16S	0.466666666666667	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ec6001	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	48	ERR1877982_1	trim50_synthetic16S	0.8	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Ga5501	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	17	ERR1877982_1	trim50_synthetic16S	0.283333333333333	ERR1877982
ERR1877982_1_trim50_synthetic16S	ERR1877982_1	602474	trim50_synthetic16S	foward	Tb5501	ERR1877982_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	6	ERR1877982_1	trim50_synthetic16S	0.1	ERR1877982
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Bv5501	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	62	SRR10015223_1	trim50_synthetic16S	0.885714285714286	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ca5501	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	90	SRR10015223_1	trim50_synthetic16S	1.28571428571429	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5001	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	203	SRR10015223_1	trim50_synthetic16S	2.9	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5002	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	311	SRR10015223_1	trim50_synthetic16S	4.44285714285714	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5003	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	266	SRR10015223_1	trim50_synthetic16S	3.8	SRR10015223
